Date,Open,High,Low,Close,Adj Close,Volume
2001-02-22,94.410004,97.500000,91.260002,97.199997,72.748245,4517900
2001-02-23,96.199997,97.099998,90.250000,96.040001,71.880020,4350600
2001-02-26,96.150002,98.500000,92.629997,98.300003,73.571510,3882100
2001-02-27,97.750000,100.500000,96.510002,98.339996,73.601448,4132200
2001-02-28,97.099998,97.110001,91.269997,91.750000,68.669212,4745600
2001-03-01,89.400002,91.800003,87.199997,91.610001,68.564445,5330800
2001-03-02,90.300003,93.599998,89.099998,91.400002,68.407310,4105500
2001-03-05,91.400002,93.000000,88.720001,92.150002,68.968613,2837300
2001-03-06,93.949997,97.500000,93.349998,95.349998,71.363655,3156800
2001-03-07,95.110001,95.650002,92.650002,94.949997,71.064209,3780200
2001-03-08,94.849998,95.699997,90.650002,91.750000,68.669212,3078300
2001-03-09,91.610001,91.620003,86.900002,87.000000,65.114159,2968600
2001-03-12,86.050003,86.500000,81.570000,82.489998,61.738701,4860800
2001-03-13,84.750000,87.750000,83.500000,87.510002,65.495850,4596400
2001-03-14,84.900002,87.889999,83.110001,83.910004,62.801479,6390800
2001-03-15,86.000000,89.910004,85.849998,87.949997,65.825165,4706900
2001-03-16,90.500000,91.000000,87.050003,87.550003,65.525757,4385300
2001-03-19,89.000000,91.550003,88.250000,90.940002,68.063019,3205100
2001-03-20,92.000000,92.500000,87.059998,87.059998,65.159050,7271300
2001-03-21,87.099998,89.500000,84.849998,85.000000,63.617256,5204200
2001-03-22,84.750000,88.500000,81.000000,85.910004,64.298347,5776900
2001-03-23,87.500000,89.879997,86.900002,89.809998,67.217255,4026900
2001-03-26,89.809998,92.500000,88.570000,89.239998,66.790665,3292600
2001-03-27,87.750000,93.500000,87.400002,93.500000,69.978973,3700100
2001-03-28,92.000000,92.000000,86.500000,87.250000,65.301270,4127400
2001-03-29,86.680000,89.650002,86.000000,88.099998,65.937424,3472000
2001-03-30,87.900002,89.470001,85.099998,85.099998,63.692150,2855900
2001-04-02,85.099998,87.199997,84.000000,84.160004,62.988556,2939800
2001-04-03,84.099998,84.900002,80.980003,81.309998,60.855541,3203600
2001-04-04,80.599998,81.750000,77.000000,77.529999,58.026440,6130100
2001-04-05,80.000000,86.000000,79.900002,86.000000,64.365715,5193500
2001-04-06,84.000000,85.559998,82.839996,84.199997,63.018528,4452100
2001-04-09,85.750000,87.250000,82.610001,84.000000,62.868839,2884500
2001-04-10,85.599998,89.480003,85.510002,87.809998,65.720390,2955000
2001-04-11,91.500000,91.949997,89.500000,91.300003,68.332443,3427000
2001-04-12,89.599998,94.000000,89.099998,94.000000,70.353210,3024400
2001-04-16,94.000000,94.250000,91.779999,91.779999,68.691696,2725300
2001-04-17,90.800003,94.500000,90.550003,93.099998,69.679626,2838900
2001-04-18,95.250000,102.500000,95.099998,99.650002,74.581909,5979300
2001-04-19,98.150002,99.889999,95.500000,97.690002,73.114975,3918600
2001-04-20,95.500000,96.449997,94.500000,95.660004,71.683662,2297300
2001-04-23,94.000000,94.750000,92.500000,92.959999,69.660393,2063400
